#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,10.0,0.2000,-5.13,-14.29
2,10.2,0.2000,-5.14,-14.61
3,10.4,0.2000,-5.15,-14.94
4,10.7,0.2000,-5.16,-15.34
5,10.9,0.2000,-5.17,-15.64
6,11.1,0.2000,-5.17,-15.97
7,11.4,0.2000,-5.20,-16.42
8,11.6,0.2000,-5.22,-16.73
9,11.8,0.2000,-5.23,-17.00
10,12.1,0.2000,-5.24,-17.41
11,12.4,0.2000,-5.27,-17.92
12,12.6,0.2000,-5.27,-18.15
13,12.9,0.2000,-5.28,-18.62
14,13.2,0.2000,-5.32,-19.08
15,13.5,0.2000,-5.33,-19.54
16,13.7,0.2000,-5.35,-19.83
17,14.0,0.2000,-5.36,-20.30
18,14.3,0.2000,-5.38,-20.74
19,14.6,0.2000,-5.41,-21.25
20,15.0,0.2000,-5.43,-21.81
21,15.3,0.2000,-5.46,-22.30
22,15.6,0.2000,-5.49,-22.73
23,15.9,0.2000,-5.53,-23.24
24,16.3,0.2000,-5.55,-23.81
25,16.6,0.2000,-5.58,-24.21
26,17.0,0.2000,-5.61,-24.82
27,17.3,0.2000,-5.64,-25.25
28,17.7,0.2000,-5.68,-25.85
29,18.1,0.2000,-5.72,-26.43
30,18.5,0.2000,-5.76,-27.12
31,18.9,0.2000,-5.80,-27.69
32,19.3,0.2000,-5.84,-28.28
33,19.7,0.2000,-5.89,-28.88
34,20.1,0.2000,-5.93,-29.48
35,20.6,0.2000,-6.00,-30.25
36,21.0,0.2000,-6.05,-30.84
37,21.4,0.2000,-6.09,-31.51
38,21.9,0.2000,-6.16,-32.16
39,22.4,0.2000,-6.22,-32.94
40,22.8,0.2000,-6.28,-33.45
41,23.3,0.2000,-6.31,-34.20
42,23.8,0.2000,-6.39,-34.95
43,24.3,0.2000,-6.46,-35.79
44,24.9,0.2000,-6.56,-36.67
45,25.4,0.2000,-6.63,-37.42
46,25.9,0.2000,-6.72,-38.23
47,26.5,0.2000,-6.82,-39.16
48,27.1,0.2000,-6.92,-40.10
49,27.6,0.2000,-6.99,-40.82
50,28.2,0.2000,-7.12,-41.74
51,28.8,0.2000,-7.22,-42.61
52,29.5,0.2000,-7.38,-43.63
53,30.1,0.2000,-7.48,-44.59
54,30.7,0.2000,-7.61,-45.55
55,31.4,0.2000,-7.77,-46.62
56,32.1,0.2000,-7.93,-47.59
57,32.8,0.2000,-8.09,-48.63
58,33.5,0.2000,-8.27,-49.73
59,34.2,0.2000,-8.45,-50.83
60,34.9,0.2000,-8.63,-51.87
61,35.7,0.2000,-8.85,-52.97
62,36.4,0.2000,-9.06,-53.99
63,37.2,0.2000,-9.30,-55.21
64,38.0,0.2000,-9.57,-56.43
65,38.8,0.2000,-9.87,-57.55
66,39.6,0.2000,-10.14,-58.83
67,40.5,0.2000,-10.46,-60.15
68,41.4,0.2000,-10.81,-61.49
69,42.2,0.2000,-11.15,-62.73
70,43.1,0.2000,-11.54,-64.04
71,44.1,0.2000,-12.00,-65.54
72,45.0,0.2000,-12.46,-66.92
73,46.0,0.2000,-12.99,-68.49
74,47.0,0.2000,-13.58,-69.93
75,48.0,0.2000,-14.22,-71.51
76,49.0,0.2000,-14.93,-73.01
77,50.0,0.2000,-15.70,-74.56
78,51.1,0.2000,-16.63,-76.19
79,52.2,0.2000,-17.74,-77.76
80,53.3,0.2000,-19.00,-79.51
81,54.5,0.2000,-20.69,-81.12
82,55.6,0.2000,-22.54,-83.03
83,56.8,0.2000,-25.30,-84.63
84,58.0,0.2000,-29.37,-86.71
85,59.3,0.2000,-38.60,-88.65
86,60.6,0.2000,-39.68,90.60
87,61.8,0.2000,-30.03,88.12
88,63.2,0.2000,-24.99,86.23
89,64.5,0.2000,-21.96,84.28
90,65.9,0.2000,-19.57,82.14
91,67.3,0.2000,-17.66,79.85
92,68.8,0.2000,-15.99,77.71
93,70.2,0.2000,-14.66,75.57
94,71.7,0.2000,-13.42,73.40
95,73.3,0.2000,-12.26,71.03
96,74.8,0.2000,-11.29,68.80
97,76.4,0.2000,-10.37,66.41
98,78.1,0.2000,-9.47,63.85
99,79.8,0.2000,-8.64,61.38
100,81.5,0.2000,-7.87,58.88
101,83.2,0.2000,-7.19,56.30
102,85.0,0.2000,-6.50,53.54
103,86.8,0.2000,-5.85,50.84
104,88.7,0.2000,-5.24,47.97
105,90.6,0.2000,-4.67,45.14
106,92.5,0.2000,-4.15,42.22
107,94.5,0.2000,-3.61,39.35
108,96.5,0.2000,-3.12,36.36
109,98.6,0.2000,-2.61,33.15
110,100.7,0.2000,-2.17,30.05
111,102.8,0.2000,-1.72,26.98
112,105.0,0.2000,-1.28,23.57
113,107.3,0.2000,-0.86,20.18
114,109.6,0.2000,-0.45,16.72
115,111.9,0.2000,-0.07,13.21
116,114.3,0.2000,0.30,9.74
117,116.8,0.2000,0.66,5.84
118,119.3,0.2000,1.01,2.18
119,121.8,0.2000,1.33,-1.60
120,124.4,0.2000,1.63,-5.45
121,127.1,0.2000,1.94,-9.47
122,129.8,0.2000,2.21,-13.56
123,132.6,0.2000,2.50,-17.63
124,135.4,0.2000,2.75,-21.86
125,138.3,0.2000,2.98,-26.28
126,141.3,0.2000,3.22,-30.78
127,144.3,0.2000,3.44,-35.20
128,147.4,0.2000,3.62,-39.79
129,150.6,0.2000,3.83,-44.62
130,153.8,0.2000,3.96,-49.46
131,157.1,0.2000,4.13,-54.42
132,160.5,0.2000,4.27,-59.29
133,163.9,0.2000,4.39,-64.42
134,167.4,0.2000,4.49,-69.66
135,171.0,0.2000,4.56,-75.10
136,174.7,0.2000,4.64,-80.62
137,178.4,0.2000,4.69,-86.10
138,182.2,0.2000,4.70,-91.97
139,186.1,0.2000,4.76,-97.24
140,190.1,0.2000,4.51,-104.47
141,194.2,0.2000,4.53,-106.53
142,198.3,0.2000,5.05,-119.63
143,202.6,0.2000,4.94,-114.41
144,206.9,0.2000,6.04,-127.79
145,211.4,0.2000,4.85,-118.35
146,215.9,0.2000,6.90,-134.84
147,220.5,0.2000,-5.25,188.49
